materialAliases;materialGroup;materialSubGroup;materialTypeNumber;name;productionMethod;surfaceDescription;surfaceNorm
"[""V4A"",""Edelstahl"",""AISI 904L"",""VA""]";Nichtrostender Stahl;Nichtrostender austenitischer Stahl;14.539;X1NiCrMoCu25-20-5;kaltgewalzt;rau, stumpf, mechanisch entzundert;2E
"[""SUS304"",""V2A"",""Edelstahl"",""AISI 304"",""VA""]";Nichtrostender Stahl;Nichtrostender austenitischer Stahl;14.301;X5CrNi18-10;kaltgewalzt;spiegelpoliert No. 8;2P8
"[""SUS304"",""V2A"",""Edelstahl"",""AISI 304"",""VA""]";Nichtrostender Stahl;Nichtrostender austenitischer Stahl;14.301;X5CrNi18-10;warmgewalzt;Tränenblech;1MT
"[""Edelstahl"",""AISI 430"",""VA""]";Nichtrostender Stahl;Nichtrostender ferritischer Stahl;14.016;X6Cr17;kaltgewalzt;visuell glatte Oberfläche;2B
"[""SUS304"",""V2A"",""Edelstahl"",""AISI 304"",""VA""]";Nichtrostender Stahl;Nichtrostender austenitischer Stahl;14.301;X5CrNi18-10;kaltgewalzt;visuell glatte Oberfläche;2B
"[""VA"",""V4A"",""Edelstahl"",""AISI 316""]";Nichtrostender Stahl;Nichtrostender austenitischer Stahl;14.401;X5CrNiMo17-12-2;kaltgewalzt;visuell glatte Oberfläche;2B
"[""V4A"",""AISI 316L""]";Nichtrostender Stahl;Nichtrostender austenitischer Stahl;14.404;X2CrNiMo17-12-2;kaltgewalzt;visuell glatte Oberfläche;2B
[];Nichtrostender Stahl;Nichtrostender austenitischer Stahl;14.541;X6CrNiTi18-10;kaltgewalzt;visuell glatte Oberfläche;2B
"[""AISI 316Ti"",""Edelstahl"",""V4A"",""VA""]";Nichtrostender Stahl;Nichtrostender austenitischer Stahl;14.571;X6CrNiMoTi17-12-2;kaltgewalzt;visuell glatte Oberfläche;2B
"[""AISI 309"",""hitzebeständig"",""Edelstahl""]";Nichtrostender Stahl;Nichtrostender aust. hitzebest. Stahl;14.828;X15CrNiSi20-12;kaltgewalzt;visuell glatte Oberfläche;2B
